Rank,Release Group,Worldwide,Domestic,%,Foreign,%
111,Yaytso Faberzhe,"$108,923",-,-,"$108,923",100%
112,Project 'Gemini',"$105,631",-,-,"$105,631",100%
113,DJ Tillu,"$96,808",-,-,"$96,808",100%
114,Ghosts of the Ozarks,"$91,731",-,-,"$91,731",100%
115,Flight 666,"$87,997",-,-,"$87,997",100%
116,Hamel El Lakab,"$86,963",-,-,"$86,963",100%
117,Shattered,"$85,187",-,-,"$85,187",100%
118,See for Me,"$79,411","$51,218",64.5%,"$28,193",35.5%
119,Petra de San José,"$73,702",-,-,"$73,702",100%
120,Masal Zamani Melez Prenses,"$70,258",-,-,"$70,258",100%
121,Howl's Moving Castle 2022 Re-release,"$69,760",-,-,"$69,760",100%
122,Ghost in Transit,"$69,013",-,-,"$69,013",100%
123,The Last Execution,"$68,529",-,-,"$68,529",100%
124,The Conversation 2021 Re-release,"$67,463","$67,463",100%,-,-
125,Tazza 2: The Hidden Card,"$61,756",-,-,"$61,756",100%
126,Panghrun,"$60,244",-,-,"$60,244",100%
127,Träume sind wie wilde Tiger,"$59,423",-,-,"$59,423",100%
128,Save the Cinema,"$58,640",-,-,"$58,640",100%
129,We Are Nothing,"$58,248",-,-,"$58,248",100%
130,Blow-Up 2020 Re-release,"$53,332",-,-,"$53,332",100%
131,Mult V Kino Vol 133,"$53,075",-,-,"$53,075",100%
132,The Seventh Seal 2022 Re-release,"$50,129",-,-,"$50,129",100%
133,Muu Ke Thuong Luu,"$49,344",-,-,"$49,344",100%
134,Sing a Bit of Harmony,"$48,915",-,-,"$48,915",100%
135,Art of the Dead,"$48,621",-,-,"$48,621",100%
136,Malazgirt 1071,"$47,913",-,-,"$47,913",100%
137,Sewing Sisters,"$47,588",-,-,"$47,588",100%
138,Mariya,"$46,662",-,-,"$46,662",100%
139,Mr. Landsbergis,"$46,298",-,-,"$46,298",100%
140,La notte più lunga dell'anno,"$46,124",-,-,"$46,124",100%
141,Cow,"$45,678",-,-,"$45,678",100%
142,Small Body,"$45,623",-,-,"$45,623",100%
143,Fortress,"$45,617",-,-,"$45,617",100%
144,Gold,"$45,021",-,-,"$45,021",100%
145,Only Fools Rush In,"$44,886",-,-,"$44,886",100%
146,Ballad of a White Cow,"$42,467",-,-,"$42,467",100%
147,"That Day, on the Beach 2022 Re-release","$37,482",-,-,"$37,482",100%
148,Strawberry Mansion,"$34,004","$34,004",100%,-,-
